Subject,Marks,Hours,Student_id,Year
Language,76.0,2.2,S10036,4
Science,77.1,2.0,S10036,4
Maths,40.5,6.7,S10036,4
Language,81.4,2.3,S10037,1
Science,81.2,2.8,S10037,1
Maths,72.6,3.0,S10037,1
Language,77.2,1.9,S10038,1
Science,67.1,1.4,S10038,1
Maths,43.7,2.0,S10038,1
Language,69.7,2.9,S10039,3
Science,97.0,4.7,S10039,3
Maths,58.7,5.8,S10039,3
Language,83.2,1.2,S10040,3
Science,88.9,4.2,S10040,3
Maths,69.4,4.8,S10040,3
Language,78.1,1.3,S10041,3
Science,93.2,4.1,S10041,3
Maths,65.6,2.7,S10041,3
Language,70.7,2.9,S10042,2
Science,79.7,2.8,S10042,2
Maths,67.8,4.1,S10042,2
Language,74.8,2.2,S10043,4
Science,88.2,7.9,S10043,4
Maths,51.3,7.4,S10043,4
Language,70.6,2.9,S10044,4
Science,88.9,7.8,S10044,4
Maths,58.7,6.3,S10044,4
Language,66.8,2.4,S10045,4
Science,84.0,2.7,S10045,4
Maths,77.6,2.1,S10045,4
Language,74.5,2.1,S10046,4
Science,68.8,1.1,S10046,4
Maths,69.3,1.1,S10046,4
Language,76.5,1.5,S10047,3
Science,94.5,5.4,S10047,3
Maths,43.7,6.9,S10047,3
Language,71.7,2.5,S10048,2
Science,57.6,1.2,S10048,2
Maths,67.0,4.4,S10048,2
Language,78.7,1.6,S10049,2
Science,81.3,3.8,S10049,2
Maths,36.0,6.3,S10049,2
Language,71.5,2.8,S10050,3
Science,87.9,3.5,S10050,3
Maths,66.1,6.5,S10050,3
Language,68.6,1.7,S10051,2
Science,93.4,5.6,S10051,2
Maths,51.0,7.4,S10051,2
Language,71.4,1.2,S10052,3
Science,63.2,1.3,S10052,3
Maths,63.2,1.3,S10052,3
Language,76.1,1.6,S10053,4
Science,78.8,7.7,S10053,4
Maths,94.8,5.1,S10053,4
Language,71.0,2.0,S10054,3
Science,89.8,3.5,S10054,3
Maths,81.2,7.3,S10054,3
Language,73.0,2.0,S10055,4
Science,97.0,4.5,S10055,4
Maths,40.1,2.3,S10055,4
Language,74.7,1.7,S10056,4
Science,67.2,1.5,S10056,4
Maths,60.2,1.5,S10056,4
Language,79.5,1.8,S10057,1
Science,89.1,6.7,S10057,1
Maths,84.6,5.9,S10057,1
Language,67.7,2.5,S10058,3
Science,91.6,7.1,S10058,3
Maths,69.3,4.8,S10058,3
Language,71.2,1.1,S10059,1
Science,72.5,1.9,S10059,1
Maths,30.0,1.4,S10059,1
Language,66.8,2.9,S10060,3
Science,75.9,3.1,S10060,3
Maths,78.3,2.6,S10060,3
Language,75.6,2.7,S10061,3
Science,84.7,4.0,S10061,3
Maths,63.0,6.0,S10061,3
Language,69.7,2.6,S10062,1
Science,82.8,7.3,S10062,1
Maths,81.9,6.6,S10062,1
Language,64.9,2.3,S10063,1
Science,74.0,1.5,S10063,1
Maths,65.7,2.2,S10063,1
Language,74.8,2.6,S10064,3
Science,63.5,1.3,S10064,3
Maths,36.2,2.9,S10064,3
Language,77.0,2.4,S10065,2
Science,93.7,6.3,S10065,2
Maths,65.4,4.6,S10065,2
Language,81.9,1.7,S10066,4
Science,97.0,4.2,S10066,4
Maths,76.3,7.4,S10066,4
Language,76.1,2.7,S10067,1
Science,76.3,2.9,S10067,1
Maths,80.4,3.4,S10067,1
Language,81.8,1.7,S10068,4
Science,100.0,4.9,S10068,4
Maths,30.0,7.6,S10068,4
Language,78.1,1.3,S10069,2
Science,88.9,6.5,S10069,2
Maths,81.7,1.2,S10069,2
Language,71.2,2.7,S10070,2
Science,78.3,2.6,S10070,2
Maths,76.9,5.9,S10070,2
Language,77.1,2.9,S10071,2
Science,73.1,1.4,S10071,2
Maths,60.6,7.0,S10071,2
Language,79.2,1.4,S10072,1
Science,94.9,3.8,S10072,1
Maths,43.2,1.9,S10072,1
Language,66.4,2.7,S10073,2
Science,93.3,5.7,S10073,2
Maths,82.7,5.4,S10073,2
Language,74.8,2.1,S10074,1
Science,76.8,3.0,S10074,1
Maths,87.5,3.1,S10074,1
Language,68.9,1.7,S10075,2
Science,91.1,6.1,S10075,2
Maths,57.7,6.5,S10075,2
Language,86.1,1.6,S10076,4
Science,79.7,3.3,S10076,4
Maths,68.1,1.4,S10076,4
Language,72.7,2.3,S10077,4
Science,90.6,5.7,S10077,4
Maths,80.2,3.9,S10077,4
Language,71.0,2.5,S10078,3
Science,76.4,2.9,S10078,3
Maths,61.7,4.0,S10078,3
Language,70.9,2.9,S10079,4
Science,75.6,1.8,S10079,4
Maths,68.9,5.9,S10079,4
Language,70.5,1.8,S10080,3
Science,69.7,2.8,S10080,3
Maths,33.8,2.4,S10080,3
Language,76.4,1.6,S10081,4
Science,97.4,5.6,S10081,4
Maths,65.9,1.5,S10081,4
Language,78.6,1.2,S10082,1
Science,66.9,1.6,S10082,1
Maths,90.0,5.2,S10082,1
Language,83.7,1.5,S10083,4
Science,66.9,1.1,S10083,4
Maths,85.1,5.3,S10083,4
Language,80.3,1.6,S10084,3
Science,81.8,7.1,S10084,3
Maths,56.8,7.6,S10084,3
Language,75.4,2.2,S10085,3
Science,91.2,5.9,S10085,3
Maths,85.4,1.1,S10085,3
Language,72.4,2.2,S10086,2
Science,78.4,7.7,S10086,2
Maths,71.1,3.8,S10086,2
Language,75.6,2.3,S10087,1
Science,81.7,7.8,S10087,1
Maths,57.9,6.2,S10087,1
Language,63.0,2.8,S10088,4
Science,87.8,4.0,S10088,4
Maths,60.2,6.1,S10088,4
Language,73.6,2.2,S10089,2
Science,100.0,5.5,S10089,2
Maths,45.4,1.6,S10089,2
Language,79.8,1.4,S10090,4
Science,63.8,1.1,S10090,4
Maths,49.5,2.7,S10090,4
Language,73.1,1.5,S10091,4
Science,72.5,1.4,S10091,4
Maths,72.0,5.2,S10091,4
Language,75.5,2.3,S10092,2
Science,93.3,6.8,S10092,2
Maths,39.0,7.5,S10092,2
Language,75.0,2.2,S10093,2
Science,94.8,6.2,S10093,2
Maths,85.7,1.5,S10093,2
Language,77.3,1.7,S10094,2
Science,100.0,4.8,S10094,2
Maths,72.2,2.9,S10094,2
Language,72.2,2.3,S10095,2
Science,100.0,6.5,S10095,2
Maths,48.7,2.7,S10095,2
Language,64.9,2.4,S10096,2
Science,87.3,5.5,S10096,2
Maths,52.8,7.6,S10096,2
Language,71.1,1.0,S10097,4
Science,77.5,3.1,S10097,4
Maths,75.0,4.4,S10097,4
Language,71.8,2.9,S10098,2
Science,87.1,3.9,S10098,2
Maths,68.0,5.6,S10098,2
Language,76.0,1.3,S10099,1
Science,67.7,1.5,S10099,1
Maths,44.4,7.2,S10099,1
Language,68.5,2.6,S10100,3
Science,81.6,3.0,S10100,3
Maths,76.0,3.2,S10100,3
Language,66.2,2.1,S10101,2
Science,90.2,3.5,S10101,2
Maths,53.0,6.5,S10101,2
Language,71.3,1.6,S10102,2
Science,88.2,4.5,S10102,2
Maths,76.0,7.6,S10102,2
Language,64.3,2.0,S10103,4
Science,76.1,2.4,S10103,4
Maths,72.7,6.9,S10103,4
Language,69.6,2.7,S10104,2
Science,100.0,5.3,S10104,2
Maths,45.2,2.1,S10104,2
Language,75.7,2.4,S10105,2
Science,76.6,2.6,S10105,2
Maths,86.2,2.1,S10105,2
Language,77.6,1.2,S10106,2
Science,87.1,3.5,S10106,2
Maths,61.6,1.7,S10106,2
Language,66.4,2.2,S10107,4
Science,76.3,2.7,S10107,4
Maths,51.1,2.6,S10107,4
Language,78.6,1.4,S10108,2
Science,100.0,4.9,S10108,2
Maths,88.4,3.9,S10108,2
Language,61.3,2.4,S10109,3
Science,95.5,5.9,S10109,3
Maths,62.0,3.9,S10109,3
Language,74.2,2.7,S10110,4
Science,79.1,1.8,S10110,4
Maths,71.6,5.2,S10110,4
Language,74.6,1.3,S10111,3
Science,93.6,5.8,S10111,3
Maths,40.7,7.3,S10111,3
Language,64.6,1.4,S10112,4
Science,62.3,1.1,S10112,4
Maths,59.3,6.5,S10112,4
Language,70.7,2.1,S10113,2
Science,92.5,5.4,S10113,2
Maths,72.6,1.1,S10113,2
Language,79.2,2.4,S10114,3
Science,92.2,6.7,S10114,3
Maths,30.0,6.9,S10114,3
Language,71.1,2.6,S10115,4
Science,93.7,4.2,S10115,4
Maths,55.5,7.2,S10115,4
Language,74.6,1.9,S10116,1
Science,88.5,6.6,S10116,1
Maths,55.9,7.3,S10116,1
Language,79.2,2.1,S10117,2
Science,87.0,7.8,S10117,2
Maths,51.6,1.5,S10117,2
Language,74.5,1.8,S10118,4
Science,91.7,8.0,S10118,4
Maths,64.2,4.9,S10118,4
Language,73.1,1.7,S10119,1
Science,85.1,3.6,S10119,1
Maths,68.8,4.2,S10119,1
Language,79.4,2.4,S10120,4
Science,65.8,1.1,S10120,4
Maths,56.9,2.5,S10120,4
Language,90.6,1.0,S10121,1
Science,93.3,6.6,S10121,1
Maths,82.7,1.5,S10121,1
Language,79.5,2.5,S10122,2
Science,95.6,6.3,S10122,2
Maths,42.8,6.6,S10122,2
Language,73.8,2.3,S10123,3
Science,94.9,5.3,S10123,3
Maths,67.9,2.4,S10123,3
Language,72.8,2.8,S10124,1
Science,94.6,6.3,S10124,1
Maths,82.8,5.2,S10124,1
Language,75.6,2.2,S10125,4
Science,97.5,5.4,S10125,4
Maths,62.8,6.0,S10125,4
Language,74.3,1.5,S10126,2
Science,72.0,2.7,S10126,2
Maths,72.8,2.5,S10126,2
Language,74.2,2.0,S10127,1
Science,74.1,2.3,S10127,1
Maths,70.2,3.7,S10127,1
Language,77.5,2.6,S10128,4
Science,82.0,2.9,S10128,4
Maths,76.0,5.8,S10128,4
Language,73.2,2.3,S10129,4
Science,78.9,3.3,S10129,4
Maths,68.9,5.9,S10129,4
Language,70.4,1.4,S10130,4
Science,100.0,5.6,S10130,4
Maths,70.7,6.7,S10130,4
Language,81.8,1.4,S10131,1
Science,61.3,1.6,S10131,1
Maths,89.3,4.0,S10131,1
Language,77.8,1.1,S10132,1
Science,100.0,4.9,S10132,1
Maths,41.5,1.3,S10132,1
Language,76.8,2.8,S10133,1
Science,92.4,7.2,S10133,1
Maths,55.6,8.0,S10133,1
Language,69.2,2.7,S10134,3
Science,100.0,5.0,S10134,3
Maths,77.4,1.5,S10134,3
Language,67.9,2.6,S10135,1
Science,89.5,7.0,S10135,1
Maths,52.4,1.9,S10135,1
Language,86.1,1.0,S10136,1
Science,97.0,5.0,S10136,1
Maths,63.0,3.2,S10136,1
Language,83.5,1.0,S10137,1
Science,99.7,6.4,S10137,1
Maths,69.4,1.3,S10137,1
Language,76.9,2.7,S10138,3
Science,100.0,5.4,S10138,3
Maths,84.5,7.1,S10138,3
Language,78.8,3.0,S10139,1
Science,100.0,6.3,S10139,1
Maths,70.1,3.7,S10139,1
Language,81.0,1.5,S10140,4
Science,88.3,7.5,S10140,4
Maths,60.3,3.4,S10140,4
Language,70.7,3.0,S10141,1
Science,91.1,7.9,S10141,1
Maths,80.5,6.0,S10141,1
Language,73.7,2.2,S10142,4
Science,93.2,5.7,S10142,4
Maths,80.6,5.7,S10142,4
Language,77.7,1.3,S10143,4
Science,100.0,4.5,S10143,4
Maths,85.8,5.5,S10143,4
Language,79.0,1.6,S10144,4
Science,93.9,5.2,S10144,4
Maths,54.0,2.3,S10144,4
Language,82.6,2.3,S10145,3
Science,93.1,6.9,S10145,3
Maths,88.3,5.9,S10145,3
Language,66.6,2.7,S10146,3
Science,100.0,3.8,S10146,3
Maths,35.2,2.1,S10146,3
Language,73.7,2.8,S10147,3
Science,90.8,5.1,S10147,3
Maths,76.7,1.4,S10147,3
Language,75.5,1.1,S10148,1
Science,98.3,5.2,S10148,1
Maths,65.0,7.2,S10148,1
Language,82.0,1.4,S10149,4
Science,89.2,7.0,S10149,4
Maths,63.2,6.2,S10149,4
Language,78.4,1.6,S10150,3
Science,93.4,4.3,S10150,3
Maths,57.3,6.9,S10150,3
Language,77.1,1.1,S10151,3
Science,87.7,7.8,S10151,3
Maths,64.6,7.6,S10151,3
Language,75.7,1.2,S10152,1
Science,74.1,2.5,S10152,1
Maths,34.1,2.6,S10152,1
Language,77.8,1.2,S10153,3
Science,63.5,2.2,S10153,3
Maths,53.1,6.6,S10153,3
Language,71.4,1.7,S10154,1
Science,65.2,1.9,S10154,1
Maths,80.5,2.8,S10154,1
Language,73.8,1.1,S10155,2
Science,73.1,2.5,S10155,2
Maths,78.3,3.4,S10155,2
Language,61.9,2.7,S10156,3
Science,98.2,4.9,S10156,3
Maths,63.5,6.6,S10156,3
Language,69.7,2.0,S10157,2
Science,62.9,2.0,S10157,2
Maths,82.8,4.4,S10157,2
Language,69.6,1.2,S10158,1
Science,89.0,6.8,S10158,1
Maths,42.2,1.4,S10158,1
Language,60.9,2.5,S10159,4
Science,100.0,5.0,S10159,4
Maths,70.2,7.0,S10159,4
Language,83.1,1.6,S10160,3
Science,86.2,7.9,S10160,3
Maths,42.2,7.2,S10160,3
Language,72.5,2.0,S10161,1
Science,77.4,6.2,S10161,1
Maths,38.0,6.9,S10161,1
Language,75.1,1.7,S10162,4
Science,88.3,3.3,S10162,4
Maths,70.1,4.2,S10162,4
Language,79.7,1.4,S10163,4
Science,87.8,7.7,S10163,4
Maths,62.4,5.1,S10163,4
Language,68.8,2.0,S10164,2
Science,100.0,4.9,S10164,2
Maths,66.1,3.6,S10164,2
Language,76.5,2.1,S10165,1
Science,68.5,2.3,S10165,1
Maths,49.3,2.3,S10165,1
Language,73.4,2.7,S10166,4
Science,85.0,7.8,S10166,4
Maths,71.5,5.0,S10166,4
Language,67.0,2.6,S10167,3
Science,86.6,3.6,S10167,3
Maths,47.3,6.9,S10167,3
Language,74.6,2.6,S10168,3
Science,70.1,2.5,S10168,3
Maths,54.6,2.5,S10168,3
Language,80.2,1.5,S10169,2
Science,61.5,1.0,S10169,2
Maths,78.8,5.4,S10169,2
Language,71.8,2.5,S10170,4
Science,79.1,3.5,S10170,4
Maths,72.4,1.7,S10170,4
Language,79.4,1.1,S10171,1
Science,76.7,3.0,S10171,1
Maths,49.0,7.4,S10171,1
Language,83.5,1.9,S10172,3
Science,70.0,2.1,S10172,3
Maths,94.4,4.4,S10172,3
Language,63.0,3.0,S10173,4
Science,98.9,6.4,S10173,4
Maths,54.5,2.2,S10173,4
Language,76.5,1.1,S10174,4
Science,90.4,4.6,S10174,4
Maths,75.2,5.3,S10174,4
Language,79.4,2.0,S10175,2
Science,64.3,1.4,S10175,2
Maths,69.9,4.1,S10175,2
Language,63.7,2.7,S10176,3
Science,61.5,1.3,S10176,3
Maths,63.7,6.1,S10176,3
Language,72.5,1.6,S10177,3
Science,78.1,2.2,S10177,3
Maths,70.1,3.7,S10177,3
Language,74.1,2.5,S10178,1
Science,74.8,2.7,S10178,1
Maths,82.4,5.7,S10178,1
Language,76.6,1.8,S10179,3
Science,72.7,1.5,S10179,3
Maths,62.1,2.6,S10179,3
Language,79.0,1.7,S10180,1
Science,80.0,2.9,S10180,1
Maths,63.3,5.3,S10180,1
Language,77.2,2.7,S10181,3
Science,88.7,7.6,S10181,3
Maths,68.0,2.9,S10181,3
Language,82.0,1.6,S10182,2
Science,100.0,5.4,S10182,2
Maths,43.7,7.9,S10182,2
Language,72.6,1.2,S10183,3
Science,86.9,4.1,S10183,3
Maths,41.2,6.8,S10183,3
Language,68.2,2.9,S10184,1
Science,81.7,7.5,S10184,1
Maths,43.6,1.4,S10184,1
Language,72.0,2.9,S10185,1
Science,82.8,4.1,S10185,1
Maths,75.1,4.3,S10185,1
Language,77.6,2.3,S10186,2
Science,100.0,5.0,S10186,2
Maths,68.5,7.3,S10186,2
Language,83.0,1.1,S10187,3
Science,63.2,1.0,S10187,3
Maths,63.8,3.9,S10187,3
Language,74.6,1.8,S10188,3
Science,99.0,5.8,S10188,3
Maths,52.5,2.9,S10188,3
Language,74.0,1.7,S10189,2
Science,91.1,4.0,S10189,2
Maths,92.1,3.0,S10189,2
Language,78.9,2.0,S10190,3
Science,81.9,4.0,S10190,3
Maths,61.8,2.2,S10190,3
Language,66.0,2.8,S10191,3
Science,88.3,3.4,S10191,3
Maths,78.8,7.5,S10191,3
Language,81.5,2.6,S10192,1
Science,92.5,7.3,S10192,1
Maths,79.7,3.8,S10192,1
Language,81.5,1.2,S10193,3
Science,94.9,5.0,S10193,3
Maths,58.5,7.9,S10193,3
Language,78.7,1.4,S10194,3
Science,90.6,6.2,S10194,3
Maths,66.4,1.2,S10194,3
Language,89.4,1.2,S10195,2
Science,63.3,2.2,S10195,2
Maths,68.7,7.6,S10195,2
Language,71.7,2.6,S10196,2
Science,86.3,3.4,S10196,2
Maths,61.9,1.4,S10196,2
Language,74.0,1.9,S10197,4
Science,68.9,2.6,S10197,4
Maths,81.5,5.0,S10197,4
Language,78.6,1.7,S10198,1
Science,95.2,4.3,S10198,1
Maths,86.5,3.5,S10198,1
Language,73.9,1.7,S10199,3
Science,74.7,2.5,S10199,3
Maths,66.5,4.4,S10199,3
Language,68.7,2.7,S10200,3
Science,85.0,6.7,S10200,3
Maths,48.1,6.8,S10200,3
Language,65.8,1.6,S10201,4
Science,89.2,7.5,S10201,4
Maths,89.4,1.2,S10201,4
Language,69.3,2.0,S10202,3
Science,95.4,5.6,S10202,3
Maths,85.9,7.8,S10202,3
Language,82.0,1.1,S10203,1
Science,90.3,3.9,S10203,1
Maths,46.4,7.6,S10203,1
Language,72.4,2.3,S10204,4
Science,95.8,4.9,S10204,4
Maths,79.0,3.8,S10204,4
Language,76.1,2.2,S10205,1
Science,83.7,3.6,S10205,1
Maths,72.1,3.5,S10205,1
Language,81.8,1.8,S10206,4
Science,71.4,1.5,S10206,4
Maths,71.2,3.8,S10206,4
Language,69.8,2.7,S10207,4
Science,57.0,1.3,S10207,4
Maths,55.6,7.2,S10207,4
Language,74.6,2.1,S10208,2
Science,86.6,6.1,S10208,2
Maths,65.3,7.7,S10208,2
Language,69.2,2.9,S10209,1
Science,94.9,7.4,S10209,1
Maths,89.3,3.8,S10209,1
Language,82.4,2.5,S10210,3
Science,91.8,4.0,S10210,3
Maths,55.5,6.1,S10210,3
Language,72.9,2.7,S10211,3
Science,96.8,4.8,S10211,3
Maths,86.6,3.7,S10211,3
Language,74.3,2.8,S10212,1
Science,91.6,4.4,S10212,1
Maths,81.7,4.6,S10212,1
Language,67.7,1.7,S10213,3
Science,70.5,1.3,S10213,3
Maths,68.1,3.4,S10213,3
Language,80.2,2.3,S10214,3
Science,76.6,2.9,S10214,3
Maths,61.1,7.9,S10214,3
Language,71.8,2.3,S10215,1
Science,98.2,5.8,S10215,1
Maths,42.7,2.6,S10215,1
Language,65.8,1.6,S10216,4
Science,77.3,2.1,S10216,4
Maths,82.4,2.2,S10216,4
Language,68.6,2.8,S10217,1
Science,61.8,1.6,S10217,1
Maths,56.6,1.1,S10217,1
Language,67.8,2.3,S10218,4
Science,77.7,2.6,S10218,4
Maths,54.4,1.2,S10218,4
Language,69.0,2.7,S10219,3
Science,84.5,7.5,S10219,3
Maths,58.4,1.3,S10219,3
Language,72.7,2.1,S10220,3
Science,99.1,5.1,S10220,3
Maths,49.8,1.1,S10220,3
Language,84.5,1.1,S10221,3
Science,100.0,5.1,S10221,3
Maths,74.3,4.8,S10221,3
Language,71.9,1.6,S10222,2
Science,93.2,7.3,S10222,2
Maths,68.7,3.6,S10222,2
Language,75.8,1.9,S10223,4
Science,88.0,6.8,S10223,4
Maths,69.8,2.6,S10223,4
Language,62.1,2.6,S10224,2
Science,86.4,7.1,S10224,2
Maths,70.2,1.6,S10224,2
Language,75.6,1.1,S10225,2
Science,84.3,4.4,S10225,2
Maths,68.2,3.8,S10225,2
Language,75.8,2.1,S10226,1
Science,86.1,6.6,S10226,1
Maths,57.4,6.3,S10226,1
Language,76.7,1.5,S10227,2
Science,93.5,3.5,S10227,2
Maths,47.0,1.4,S10227,2
Language,87.3,1.1,S10228,1
Science,69.7,2.4,S10228,1
Maths,80.2,5.5,S10228,1
Language,69.4,2.8,S10229,1
Science,78.7,3.1,S10229,1
Maths,38.6,2.7,S10229,1
Language,76.1,2.3,S10230,2
Science,95.9,6.8,S10230,2
Maths,79.8,3.8,S10230,2
Language,73.0,1.7,S10231,4
Science,94.6,5.7,S10231,4
Maths,56.9,7.9,S10231,4
Language,81.5,1.3,S10232,4
Science,100.0,5.0,S10232,4
Maths,55.8,7.1,S10232,4
Language,64.9,2.2,S10233,4
Science,79.8,3.9,S10233,4
Maths,67.2,4.9,S10233,4
Language,76.1,2.7,S10234,4
Science,100.0,4.9,S10234,4
Maths,70.0,6.5,S10234,4
Language,73.9,1.5,S10235,4
Science,87.2,7.1,S10235,4
Maths,83.9,5.7,S10235,4
Language,82.1,2.2,S10236,2
Science,100.0,5.0,S10236,2
Maths,84.2,4.0,S10236,2
Language,73.7,1.5,S10237,2
Science,99.1,5.8,S10237,2
Maths,40.3,6.2,S10237,2
Language,83.4,1.4,S10238,3
Science,64.6,1.3,S10238,3
Maths,55.7,6.1,S10238,3
Language,59.9,2.9,S10239,4
Science,81.4,3.3,S10239,4
Maths,59.7,1.6,S10239,4
Language,77.9,1.5,S10240,2
Science,88.6,4.0,S10240,2
Maths,69.5,4.8,S10240,2
Language,69.1,2.3,S10241,3
Science,94.1,7.8,S10241,3
Maths,94.5,4.5,S10241,3
Language,80.5,1.1,S10242,4
Science,80.0,3.4,S10242,4
Maths,44.0,7.4,S10242,4
Language,71.6,2.4,S10243,1
Science,90.5,3.1,S10243,1
Maths,63.7,7.3,S10243,1
Language,77.9,2.6,S10244,3
Science,92.8,7.6,S10244,3
Maths,81.5,3.1,S10244,3
Language,67.8,2.3,S10245,2
Science,100.0,5.2,S10245,2
Maths,62.5,4.9,S10245,2
Language,72.7,1.7,S10246,1
Science,89.4,3.8,S10246,1
Maths,54.3,6.1,S10246,1
Language,81.4,1.0,S10247,1
Science,88.5,6.0,S10247,1
Maths,48.6,1.1,S10247,1
Language,77.5,2.1,S10248,1
Science,79.8,1.6,S10248,1
Maths,89.2,4.8,S10248,1
Language,68.1,1.8,S10249,3
Science,75.6,2.7,S10249,3
Maths,50.7,1.7,S10249,3
Language,77.8,1.4,S10250,2
Science,98.4,4.7,S10250,2
Maths,51.6,7.1,S10250,2
Language,82.1,1.6,S10251,1
Science,94.0,3.8,S10251,1
Maths,86.4,3.2,S10251,1
Language,73.9,1.3,S10252,4
Science,100.0,5.0,S10252,4
Maths,85.4,5.9,S10252,4
Language,75.6,2.7,S10253,1
Science,98.7,4.5,S10253,1
Maths,81.6,2.3,S10253,1
Language,77.2,1.1,S10254,1
Science,89.8,5.3,S10254,1
Maths,55.6,6.9,S10254,1
Language,69.3,2.9,S10255,3
Science,80.8,1.8,S10255,3
Maths,68.6,4.8,S10255,3
Language,84.9,1.2,S10256,3
Science,87.4,2.6,S10256,3
Maths,94.7,5.5,S10256,3
Language,77.4,1.5,S10257,2
Science,86.2,3.2,S10257,2
Maths,63.6,6.7,S10257,2
Language,70.0,2.2,S10258,4
Science,100.0,5.5,S10258,4
Maths,81.0,4.3,S10258,4
Language,69.9,2.1,S10259,3
Science,83.1,3.5,S10259,3
Maths,57.7,6.4,S10259,3
Language,79.1,2.4,S10260,1
Science,82.1,3.8,S10260,1
Maths,30.0,6.3,S10260,1
Language,64.6,2.9,S10261,2
Science,79.1,2.8,S10261,2
Maths,45.3,7.8,S10261,2
Language,75.1,1.8,S10262,1
Science,92.5,4.5,S10262,1
Maths,30.0,2.1,S10262,1
Language,72.6,1.8,S10263,1
Science,66.9,1.8,S10263,1
Maths,84.6,3.7,S10263,1
Language,83.5,2.3,S10264,3
Science,60.1,1.4,S10264,3
Maths,62.6,6.7,S10264,3
Language,73.1,2.9,S10265,2
Science,83.2,2.1,S10265,2
Maths,69.6,5.1,S10265,2
Language,71.8,1.8,S10266,4
Science,85.2,3.7,S10266,4
Maths,47.4,2.1,S10266,4
Language,82.9,1.1,S10267,4
Science,100.0,4.9,S10267,4
Maths,77.5,5.0,S10267,4
Language,77.4,1.7,S10268,3
